Number,Theme,Subtheme,Set name,Pieces,RRP (USD)
71752-1,Ninjago,Seabound,Ninja Sub Speeder,356.0,39.99
31067-1,Creator,3 in 1,Modular Poolside Holiday,356.0,29.99
41057-1,Friends,Sports,Heartlake Horse Show,355.0,39.99
75082-1,Star Wars,Rebels,TIE Advanced Prototype,355.0,39.99
76185-1,Marvel Super Heroes,Spider-Man: No Way Home,Spider-Man at the Sanctum Workshop,355.0,39.99
76211-1,Marvel Super Heroes,Black Panther: Wakanda Forever,Shuri's Sunbird,355.0,49.99
76213-1,Marvel Super Heroes,Black Panther: Wakanda Forever,King Namor's Throne Room,355.0,34.99
75215-1,Star Wars,Solo,Cloud-Rider Swoop Bikes,355.0,29.99
5766-1,Creator,3 in 1,Log Cabin,355.0,29.99
31157-1,Creator,3 in 1,Exotic Peacock,355.0,19.99
8899-1,World Racers,,Gator Swamp,354.0,39.99
8061-1,Atlantis,,Gateway of the Squid,354.0,39.99
60257-1,City,Town,Service Station,354.0,49.99
71403-1,Super Mario,Starter Course,Adventures with Peach,354.0,59.99
71412-1,Super Mario,Expansion Set,Big Bad Island,354.0,44.99
9393-1,Technic,,Tractor,353.0,39.99
4506-1,Creator,Designer Set,Deep Sea Predators,352.0,20.0
6540-1,Town,Police,Pier Police,352.0,44.0
60009-1,City,Elite Police,Helicopter Arrest,352.0,49.99
7685-1,City,Construction,Dozer,352.0,39.99
8630-1,Agents,,Gold Hunt,352.0,29.99
31122-1,Creator,3 in 1,Fish Tank,352.0,29.99
21255-1,Minecraft,Minifig-scale,The Nether Portal Ambush,352.0,37.99
41906-1,Dots,Accessories,Pineapple Pencil Holder,351.0,19.99
70811-1,The LEGO Movie,2 in 1,The Flying Flusher,351.0,29.99
41237-1,DC Super Hero Girls,,Batgirl Secret Bunker,351.0,44.99
41335-1,Friends,Tree Houses,Mia's Tree House,351.0,29.99
6345-1,Town,Flight,Aerial Acrobats,351.0,34.0
4980-1,Rock Raiders,,The Tunnel Transport,351.0,50.0
6584-1,Town,Extreme Team,Extreme Team Challenge,350.0,50.0
6765-1,Western,Cowboys,Gold City Junction,350.0,50.0
41146-1,Disney,Cinderella,Cinderella's Enchanted Evening,350.0,39.99
10673-1,Juniors,City,Race Car Rally,350.0,29.99
60060-1,City,Great Vehicles,Auto Transporter,350.0,29.99
70602-1,Ninjago,Skybound,Jay's Elemental Dragon,350.0,29.99
76426-1,Harry Potter,Philosopher's Stone,Hogwarts Castle Boathouse,350.0,37.99
71475-1,Dreamzzz,,Mr. Oz's Space Car,350.0,29.99
60303-1,City,Seasonal,LEGO City Advent Calendar,349.0,29.99
41947-1,Dots,Disney,Mickey and Friends Bracelets Mega Pack,349.0,34.99
76410-1,Harry Potter,House Banners,Slytherin House Banner,349.0,34.99
76420-1,Harry Potter,Goblet of Fire,Triwizard Tournament: The Black Lake,349.0,44.99
4163-1,Freestyle,,"Electric Freestyle Set, 6+",349.0,45.0
5-3,Universal Building Set,,Basic Set,349.0,7.0
70003-1,Legends of Chima,The Power of the CHI,Eris' Eagle Interceptor,348.0,34.99
40631-1,BrickHeadz,The Lord of the Rings,Gandalf the Grey & Balrog,348.0,19.99
41688-1,Friends,Amusement Park,Magical Caravan,348.0,39.99
70430-1,Hidden Side,,Newbury Subway,348.0,29.99
70827-1,The LEGO Movie 2,,Ultrakatty & Warrior Lucy!,348.0,29.99
76026-1,DC Comics Super Heroes,Justice League,Gorilla Grodd Goes Bananas,347.0,49.99
60165-1,City,Coast Guard,4 x 4 Response Unit ,347.0,39.99
8118-1,Exo-Force,Deep Jungle,Hybrid Rescue Tank,347.0,29.99
7900-1,City,Construction,Heavy Loader,347.0,24.99
8472-1,Racers,Drome Racers,Street 'n' Mud Racer,347.0,69.99
5978-1,Adventurers,Desert,Sphinx Secret Surprise,347.0,50.0
76280-1,Marvel Super Heroes,Spider-Man: No Way Home,Spider-Man vs. Sandman: Final Battle,347.0,37.99
21013-1,Architecture,Landmark Series,Big Ben,346.0,29.99
40516-1,Icons,Miscellaneous,Everyone is Awesome,346.0,34.99
41728-1,Friends,Heartlake City,Heartlake Downtown Diner,346.0,29.99
76912-1,Speed Champions,Dodge,Fast & Furious 1970 Dodge Charger R/T,345.0,19.99
76401-1,Harry Potter,Prisoner of Azkaban,Hogwarts Courtyard: Sirius's Rescue,345.0,49.99
76188-1,DC Comics Super Heroes,Batman Classic TV Series,Batman Classic TV Series Batmobile,345.0,29.99
41349-1,Friends,Racing,Drifting Diner,345.0,29.99
75209-1,Star Wars,Solo,Han Solo's Landspeeder,345.0,29.99
42048-1,Technic,,Race Kart,345.0,29.99
21015-1,Architecture,Landmark Series,The Leaning Tower of Pisa,345.0,34.99
4095-1,Creator,Inventor Set,Record and Play,345.0,50.0
8269-1,Technic,Competition,Cyber Stinger,345.0,40.0
40678-1,Seasonal,Chinese Traditional Festival,Festival Calendar,345.0,29.94
76920-1,Speed Champions,Ford,Ford Mustang Dark Horse,344.0,26.99
42613-1,Friends,Traffic,Heartlake City Hospital Ambulance,344.0,34.99
6559-1,Town,Divers,Deep Sea Bounty,344.0,44.0
4024-1,Creator,Seasonal,Advent Calendar,344.0,15.0
4513-1,World City,Trains,Grand Central Station,344.0,50.0
70804-1,The LEGO Movie,2 in 1,Ice Cream Machine,344.0,29.99
60182-1,City,Great Outdoors,Pickup & Caravan,344.0,29.99
43111-1,Vidiyo,Stages,Candy Castle Stage,344.0,29.99
40496-1,BrickHeadz,Wizarding World,"Voldemort, Nagini & Bellatrix",344.0,24.99
60388-1,City,Great Vehicles,Gaming Tournament Truck,344.0,39.99
76201-1,Marvel Super Heroes,What If...?,Captain Carter & The Hydra Stomper,343.0,29.99
40499-1,Seasonal,Christmas,Santa's Sleigh,343.0,39.99
41427-1,Friends,Heartlake City,Emma's Fashion Shop,343.0,29.99
41184-1,Elves,,Aira's Airship & the Amulet Chase,343.0,39.99
41174-1,Elves,,The Starlight Inn,343.0,29.99
6766-1,Western,Indians,Rapid River Village,343.0,60.0
6763-1,Western,Indians,Rapid River Village,343.0,70.0
6983-1,Space,Ice Planet 2002,Ice Station Odyssey,343.0,60.0
3188-1,Friends,Heartlake City,Heartlake Vet,343.0,44.99
7733-1,City,Cargo,Truck & Forklift,343.0,24.99
7206-1,City,Fire,Fire Helicopter,342.0,39.99
6544-1,Town,Launch Command,Shuttle Transcon 2,342.0,38.5
70588-1,Ninjago,Day of the Departed,Titanium Ninja Tumbler,342.0,29.99
60268-1,City,Seasonal,LEGO City Advent Calendar,342.0,29.99
76119-1,DC Comics Super Heroes,Batman,Batmobile: Pursuit of The Joker,342.0,29.99
60305-1,City,Great Vehicles,Car Transporter,342.0,29.99
31148-1,Creator,3 in 1,Retro Roller Skate,342.0,29.99
31091-1,Creator,3 in 1,Shuttle Transporter,341.0,24.99
40274-1,BrickHeadz,Seasonal,Mr. & Mrs. Claus,341.0,19.99
70609-1,The LEGO Ninjago Movie,,Manta Ray Bomber,341.0,29.99
70610-1,The LEGO Ninjago Movie,,Flying Jelly Sub,341.0,29.99
8007-1,Star Wars,Technic,C-3PO,341.0,35.0
7418-1,Adventurers,Orient Expedition,Scorpion Palace,341.0,50.0
8633-1,Agents,,Speedboat Rescue,340.0,39.99
40477-1,BrickHeadz,Disney,"Scrooge McDuck, Huey, Dewey & Louie",340.0,24.99
21181-1,Minecraft,Minifig-scale,The Rabbit Ranch,340.0,34.99
60324-1,City,Great Vehicles,Mobile Crane,340.0,39.99
41183-1,Elves,,The Goblin King's Evil Dragon,339.0,29.99
7773-1,Aqua Raiders,,Tiger Shark Attack,339.0,29.99
70013-1,Legends of Chima,The Power of the CHI,Equila's Ultra Striker,339.0,39.99
8638-1,Cars,Cars 2,Spy Jet Escape,339.0,49.99
50011-1,Games,Licensed,The Battle of Helm's Deep,338.0,29.99
3844-1,Games,Creationary,Creationary ,338.0,34.99
497-1,Space,Classic,Galaxy Explorer,338.0,32.0
7180-1,Star Wars,Episode VI,B-wing at Rebel Control Centre,338.0,30.0
4981-1,SpongeBob SquarePants,,The Chum Bucket,337.0,34.99
60154-1,City,Town,Bus Station,337.0,49.99
41367-1,Friends,Sports,Stephanie's Horse Jumping,337.0,39.99
76425-1,Harry Potter,Chamber of Secrets,Hedwig at 4 Privet Drive,337.0,19.99
40648-1,Seasonal,Chinese Traditional Festival,Money Tree,336.0,24.99
41707-1,Friends,Science,Tree-Planting Vehicle,336.0,29.99
76022-1,Marvel Super Heroes,X-Men,X-Men vs. The Sentinel,336.0,49.99
7079-1,Castle,Fantasy Era,Drawbridge Defense,335.0,39.99
4924-1,Creator,Seasonal,Advent Calendar,335.0,15.0
SAMSONITE-8,Samsonite,Basic set,335 Piece Basic Set,335.0,6.99
76048-1,Marvel Super Heroes,Avengers,Iron Skull Sub Attack,335.0,29.99
41366-1,Friends,Heartlake City,Olivia's Cupcake Cafe,335.0,29.99
70420-1,Hidden Side,,Graveyard Mystery,335.0,29.99
75307-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,335.0,39.99
75981-1,Harry Potter,Seasonal,LEGO Harry Potter Advent Calendar,335.0,39.99
76404-1,Harry Potter,Seasonal,LEGO Harry Potter Advent Calendar,334.0,44.99
70723-1,Ninjago,Rebooted,Thunder Raider,334.0,29.99
6464-1,Town,City,Super Rescue Complex,334.0,76.0
79004-1,The Hobbit,An Unexpected Journey,Barrel Escape,334.0,39.99
43239-1,Disney,Encanto,Mirabel's Photo Frame and Jewelry Box,334.0,29.99
7646-1,Space,Mars Mission,ETX Alien Infiltrator,333.0,29.99
4511-1,World City,Trains,High Speed Train,333.0,90.0
21031-1,Architecture,Landmark Series,Burj Khalifa,333.0,39.99
60151-1,City,Racing,Dragster Transporter,333.0,29.99
11018-1,Classic,Creative Fun,Creative Ocean Fun,333.0,19.99
11027-1,Classic,Creative Fun,Creative Neon Fun,333.0,19.99
11028-1,Classic,Creative Fun,Creative Pastel Fun,333.0,19.99
40410-1,Seasonal,Christmas,Charles Dickens Tribute,333.0,22.99
31094-1,Creator,3 in 1,Race Plane,333.0,29.99
75911-1,Speed Champions,McLaren,McLaren Mercedes Pit Stop,332.0,29.99
7998-1,City,Traffic,Heavy Hauler,332.0,34.99
3862-1,Games,Licensed,Harry Potter Hogwarts,332.0,34.99
7869-1,Star Wars,The Clone Wars,Battle for Geonosis,331.0,39.99
2283-1,HERO Factory,Savage Planet,Witch Doctor,331.0,29.99
8272-1,Technic,,Snowmobile,331.0,29.99
3053-1,Castle,Ninja,Emperor's Stronghold,331.0,40.0
60071-1,City,Swamp Police,Hovercraft Arrest,331.0,44.99
70142-1,Legends of Chima,Fire vs. Ice,Eris' Fire Eagle Flyer,330.0,29.99
42074-1,Technic,,Racing Yacht,330.0,39.99
76067-1,Marvel Super Heroes,Captain America: Civil War,Tanker Truck Takedown,330.0,29.99
60123-1,City,Volcano Explorers,Volcano Supply Helicopter,330.0,49.99
41382-1,Friends,Seasonal,LEGO Friends Advent Calendar,330.0,29.99
76254-1,Marvel Super Heroes,Guardians of the Galaxy Vol. 3,Baby Rocket's Ship,330.0,34.99
6740-1,Island Xtreme Stunts,,Xtreme Tower,330.0,50.0
5979-1,Space,Space Police 3,Max Security Transport,330.0,39.99
7678-1,Star Wars,The Clone Wars,Droid Gunship,329.0,29.99
42005-1,Technic,,Monster Truck,329.0,49.99
6337-1,Town,Racing,Fast Track Finish,329.0,40.0
75340-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,329.0,44.99
75229-1,Star Wars,Episode IV,Death Star Escape,329.0,29.99
41498-1,BrickHeadz,Star Wars,Boba Fett and Han Solo in Carbonite,329.0,39.99
31023-1,Creator,3 in 1,Yellow Racers,328.0,29.99
41312-1,Friends,Heartlake City,Heartlake Sports Centre,328.0,39.99
31113-1,Creator,3 in 1,Race Car Transporter,328.0,19.99
40570-1,Seasonal,Halloween,Halloween Cat and Mouse,328.0,12.99
70504-1,Ninjago,The Final Battle,Garmatron,328.0,39.99
60406-1,City,Racing,Race Car and Car Carrier Truck,328.0,29.99
76257-1,Marvel Super Heroes,X-Men '97,Wolverine Construction Figure,327.0,32.99
9443-1,Ninjago,Rise of the Snakes,Rattlecopter,327.0,29.99
8443-1,Technic,,Pneumatic Log Loader,327.0,59.0
10128-1,World City,Trains,Train Level Crossing,327.0,50.0
31115-1,Creator,3 in 1,Space Mining Mech,327.0,24.99
75227-1,Star Wars,Promotional,Darth Vader Bust,327.0,39.99
60214-1,City,Fire,Burger Bar Fire Rescue,327.0,39.99
21120-1,Minecraft,Minifig-scale,The Snow Hideout,327.0,39.99
60061-1,City,Airport,Airport Fire Truck,326.0,29.99
41325-1,Friends,Park,Heartlake City Playground,326.0,39.99
31049-1,Creator,3 in 1,Twin Spin Helicopter,326.0,29.99
41679-1,Friends,Forest,Forest House,326.0,29.99
10025-1,Trains,9V,Santa Fe Cars - Set I,326.0,35.0
9585-1,Education,,WeDo Resource Set,326.0,49.95
21016-1,Architecture,Landmark Series,Sungnyemun,325.0,34.99
371-2,Samsonite,Model Maker,Motorized Truck Set,325.0,12.99
8769-1,Bionicle,Playsets,Visorak's Gate,325.0,40.0
4099-1,Creator,Designer Set,Robobots,325.0,20.0
41350-1,Friends,Racing,Spinning Brushes Car Wash,325.0,29.99
42092-1,Technic,,Rescue Helicopter,325.0,39.99
41373-1,Friends,Amusement Park,Funny Octopus Ride,324.0,39.99
42095-1,Technic,,Remote-Controlled Stunt Racer,324.0,99.99
60122-1,City,Volcano Explorers,Volcano Crawler,324.0,39.99
SAMSONITE-15,Samsonite,Basic set,324 Piece Medium Basic Set,324.0,6.22
75917-1,Jurassic World,,Raptor Rampage,324.0,49.99
41074-1,Elves,,Azari and the Magical Bakery,324.0,29.99
76080-1,Marvel Super Heroes,Guardians of the Galaxy Vol. 2,Ayesha's Revenge,323.0,29.99
41343-1,Friends,Airport,Heartlake City Airplane Tour,323.0,29.99
41157-1,Disney,Tangled: The Series,Rapunzel's Travelling Caravan,323.0,39.99
4030-1,Boats,,Cargo Carrier,323.0,44.0
4176-1,Creator,,The Race of the Year,323.0,25.0
8283-1,Technic,,Telehandler,323.0,29.99
4055-1,Freestyle,,Value Bucket Medium,322.0,10.0
1782-1,Town,Divers,Discovery Station,322.0,50.0
8363-1,Racers,Drome Racers,Baja Desert Racers,322.0,40.0
60194-1,City,Arctic,Arctic Scout Truck,322.0,59.99
71709-1,Ninjago,Prime Empire,Jay and Lloyd's Velocity Racers,322.0,29.99
76237-1,Marvel Super Heroes,Avengers: Endgame,Sanctuary II: Endgame Battle,322.0,39.99
41152-1,Disney,Sleeping Beauty,Sleeping Beauty's Fairytale Castle,322.0,39.99
71808-1,Ninjago,Dragons Rising Season 2,Kai's Elemental Fire Mech,322.0,29.99
21109-1,Ideas,,Exo Suit,321.0,34.99
4-2,Samsonite,Basic Set,Promotional Set No. 4 with Carrying Case (Kraft Velveeta),321.0,10.0
21019-1,Architecture,Landmark Series,The Eiffel Tower,321.0,34.99
41936-1,Dots,Accessories,Pencil Holder,321.0,19.99
76176-1,Marvel Super Heroes,Shang-Chi and the Legend of the Ten Rings,Escape from The Ten Rings,321.0,29.99
43210-1,Disney,Moana,Moana's Wayfinding Boat,321.0,34.99
71718-1,Ninjago,Master of the Mountain,Wu's Battle Dragon,321.0,19.99
41431-1,Friends,General,Heartlake City Brick Box,321.0,39.99
76112-1,DC Comics Super Heroes,Batman,App-Controlled Batmobile,321.0,99.99
5975-1,Adventurers,Dino Island,T-Rex Transport,321.0,50.0
3800-1,Mindstorms,1.5,Ultimate Builders Set,321.0,60.0
9376-1,Dacta,Castle,Castle Set,321.0,63.5
60020-1,City,Cargo,Cargo Truck,321.0,39.99
8969-1,Agents,2.0,4-Wheeling Pursuit,320.0,29.99
43216-1,Disney,Disney Princess,Princess Enchanted Journey,320.0,64.99
40620-1,BrickHeadz,Disney,Cruella & Maleficent,320.0,19.99
30628-1,Harry Potter,Promotional,Monster Book of Monsters,320.0,24.99
41059-1,Friends,Jungle Rescue,Jungle Tree Sanctuary,320.0,29.99
41121-1,Friends,Adventure Camp,Adventure Camp Rafting,320.0,29.99
75366-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,320.0,44.99
41077-1,Elves,,Aira's Pegasus Sleigh,319.0,39.99
76917-1,Speed Champions,Nissan,2 Fast 2 Furious Nissan Skyline GT-R (R34),319.0,24.99
9665-1,Dacta,Technic,Mechanical Engineering,318.0,150.0
8128-1,Star Wars,The Clone Wars,Cad Bane's Speeder,318.0,49.99
7877-1,Star Wars,Episode I,Naboo Starfighter,318.0,49.99
5976-1,Adventurers,Jungle,River Expedition,318.0,50.0
8430-1,Technic,,Mag Wheel Master,318.0,35.0
41093-1,Friends,Heartlake City,Heartlake Hair Salon,318.0,29.99
21126-1,Minecraft,Minifig-scale,The Wither,318.0,39.99
70353-1,Nexo Knights,Season 4,The Heligoyle,318.0,29.99
60314-1,City,Police,Ice Cream Truck Police Chase,317.0,39.99
60244-1,City,Police,Police Helicopter Transport,317.0,49.99
6952-1,Space,Classic,Solar Power Transporter,317.0,36.5
6271-1,Pirates,Imperial Guards,Imperial Flagship,317.0,50.0
6600-2,Town,City,Highway Construction,317.0,80.0
5983-1,Space,Space Police 3,Undercover Cruiser,317.0,29.99
4438-1,City,Forest Police,Robber's Hideout,317.0,39.99
21172-1,Minecraft,Minifig-scale,The Ruined Portal,316.0,29.99
8422-1,Technic,,Circuit Shock Racer,315.0,33.0
8417-1,Technic,,Mag Wheel Master,315.0,30.0
60025-1,City,Great Vehicles,Grand Prix Truck,315.0,29.99
9464-1,Monster Fighters,,The Vampyre Hearse,314.0,34.99
8048-1,Technic,,Buggy,314.0,39.99
4093-1,Creator,Inventor Set,Wild Wind-Up,314.0,25.0
41444-1,Friends,Heartlake City,Heartlake City Organic Cafe,314.0,29.99
70314-1,Nexo Knights,Season 1,Beast Master's Chaos Chariot,314.0,29.99
70802-1,The LEGO Movie,,Bad Cop's Pursuit,314.0,29.99
70162-1,Ultra Agents,,Infearno Interception,313.0,29.99
79016-1,The Hobbit,The Battle of the Five Armies,Attack on Lake-town,313.0,29.99
41118-1,Friends,Heartlake City,Heartlake Supermarket,313.0,29.99
70624-1,Ninjago,The Hands of Time,Vermillion Invader,313.0,29.99
76412-1,Harry Potter,House Banners,Hufflepuff House Banner,313.0,34.99
60201-1,City,Seasonal,LEGO City Advent Calendar,313.0,29.99
6954-1,Space,Blacktron,Renegade,313.0,30.0
6096-1,Castle,Knights' Kingdom I,Bull's Attack,313.0,50.0
4441-1,City,Forest Police,Police Dog Van,313.0,34.99
7020-1,Vikings,,Army of Vikings with Heavy Artillery Wagon,312.0,30.0
4953-1,Creator,3 in 1,Fast Flyers,312.0,19.99
8106-1,Exo-Force,Golden City,Aero Booster,312.0,29.99
8779-1,Castle,Knights' Kingdom II,The Grand Tournament,312.0,30.0
70842-1,The LEGO Movie 2,,Emmet's Triple-Decker Couch Mech,312.0,29.99
71783-1,Ninjago,Core,Kai's Mech Rider EVO,312.0,44.99
40571-1,Seasonal,Christmas,Wintertime Polar Bears,312.0,12.99
41706-1,Friends,Seasonal,LEGO Friends Advent Calendar,312.0,34.99
70608-1,The LEGO Ninjago Movie,,Master Falls,312.0,29.99
70168-1,Ultra Agents,,Drillex Diamond Job,312.0,29.99
41073-1,Elves,,Naida's Epic Adventure Ship,312.0,29.99
75091-1,Star Wars,Episode I,Flash Speeder,312.0,29.99
70222-1,Legends of Chima,Fire vs. Ice,Tormak's Shadow Blazer,311.0,29.99
60075-1,City,Construction,Excavator and Truck,311.0,49.99
70746-1,Ninjago,Tournament of Elements,Condrai Copter Attack,311.0,29.99
75279-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,311.0,39.99
6348-1,Town,Police,Surveillance Squad,311.0,33.0
70703-1,Space,Galaxy Squad,Star Slicer,311.0,39.99
60431-1,City,Space,Space Explorer Rover and Alien Life,311.0,34.99
60417-1,City,Police,Police Speedboat and Crooks' Hideout,311.0,34.99
76258-1,Marvel Super Heroes,Avengers,Captain America Construction Figure,310.0,32.99
70702-1,Space,Galaxy Squad,Warp Stinger,310.0,29.99
5933-1,Bricks and More,,Airport Building Set,310.0,19.99
7663-1,Star Wars,Episode I,Sith Infiltrator,310.0,29.99
6253-1,Pirates,,Shipwreck Hideout,310.0,39.99
75550-1,Minions: The Rise of Gru,,Minions Kung Fu Battle,310.0,39.99
70419-1,Hidden Side,,Wrecked Shrimp Boat,310.0,29.99
60345-1,City,Farm,Farmers Market Van,310.0,44.99
75142-1,Star Wars,Episode III,Homing Spider Droid,310.0,29.99
60183-1,City,Traffic,Heavy Cargo Transport,310.0,29.99
75184-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,309.0,39.99
41316-1,Friends,Beach,Andrea's Speedboat Transporter,309.0,29.99
80030-1,Monkie Kid,Miscellaneous,Monkie Kid's Staff Creations,309.0,39.99
75259-1,Star Wars,Episode V,Snowspeeder – 20th Anniversary Edition,309.0,39.99
40421-1,BrickHeadz,Minions: The Rise of Gru,"Belle Bottom, Kevin and Bob",309.0,19.99
3181-1,City,Airport,Passenger Plane,309.0,39.99
7868-1,Star Wars,The Clone Wars,Mace Windu's Jedi Starfighter,309.0,39.99
3184-1,Friends,Great Outdoors,Adventure Camper,309.0,34.99
8444-1,Technic,,Air Enforcer,309.0,30.0
6380-1,Town,Medical,Emergency Treatment Centre,308.0,29.75
8262-1,Technic,,Quad-Bike,308.0,39.99
76942-1,Jurassic World, Camp Cretaceous,Baryonyx Dinosaur Boat Escape,308.0,79.99
70639-1,Ninjago,Sons of Garmadon,Street Race of Snake Jaguar,308.0,29.99
41322-1,Friends,Snow Resort,Snow Resort Ice Rink,307.0,29.99
41150-1,Disney,Moana,Moana's Ocean Voyage,307.0,39.99
76127-1,Marvel Super Heroes,Captain Marvel,Captain Marvel and The Skrull Attack,307.0,29.99
75213-1,Star Wars,Seasonal,LEGO Star Wars Advent Calendar,307.0,39.99
71791-1,Ninjago,Dragons Rising Season 1,Zane's Dragon Power Spinjitzu Race Car,307.0,34.99
7207-1,City,Fire,Fire Boat,306.0,49.99
76947-1,Jurassic World,Dominion,Quetzalcoatlus Plane Ambush,306.0,44.99
40383-1,BrickHeadz,Wedding,Wedding Bride,306.0,12.99
76045-1,DC Comics Super Heroes,Batman v Superman: Dawn of Justice,Kryptonite Interception,306.0,29.99
10674-1,Juniors,Girl,Pony Farm,306.0,29.99
75182-1,Star Wars,The Clone Wars,Republic Fighter Tank,305.0,24.99
70911-1,The LEGO Batman Movie,,The Penguin Arctic Roller,305.0,29.99
75964-1,Harry Potter,Seasonal,LEGO Harry Potter Advent Calendar,305.0,39.99
31098-1,Creator,3 in 1,Outback Cabin,305.0,29.99
76198-1,Marvel Super Heroes,Spider-Man,Spider-Man & Doctor Octopus Mech Battle,305.0,19.99
76411-1,Harry Potter,House Banners,Ravenclaw House Banner,305.0,34.99
4254-1,Freestyle,,Play Table with Cars and Planes,305.0,15.0
4203-1,City,Mining,Excavator Transporter,305.0,39.99
6377-1,Town,Flight,Delivery Centre,305.0,25.5
1072-1,Dacta,,Supplementary LEGO Set,304.0,16.3
1075-1,Dacta,,LEGO People Supplementary Set,304.0,14.5
3860-1,Games,Heroica,Castle Fortaan,304.0,29.99
8087-1,Star Wars,Legends,TIE Defender,304.0,49.99
21243-1,Minecraft,Minifig-scale,The Frozen Peaks,304.0,34.99
41716-1,Friends,Summer,Stephanie's Sailing Adventure,304.0,39.99
40546-1,BrickHeadz,Pets,Poodles,304.0,14.99
40416-1,Seasonal,Christmas,Ice Skating Rink,304.0,19.99
41445-1,Friends,Vet,Vet Clinic Ambulance,304.0,29.99
610-4,Samsonite,Basic Set,Super Wheel Toy Set (tall box version),304.0,9.95
76012-1,DC Comics Super Heroes,Batman,Batman: The Riddler Chase,304.0,29.99
10693-1,Classic,Creative Building,Creative Supplement,303.0,19.99
10694-1,Classic,Creative Building,Creative Supplement Bright,303.0,19.99
60173-1,City,Mountain Police,Mountain Arrest,303.0,59.99
21159-1,Minecraft,Minifig-scale,The Pillager Outpost,303.0,29.99
4770-1,Alpha Team,Mission Deep Freeze,Blizzard Blaster,303.0,30.0
4754-1,Harry Potter,Prisoner of Azkaban,Hagrid's Hut,302.0,30.0
41423-1,Friends,Jungle Rescue,Tiger Hot Air Balloon Jungle Rescue,302.0,39.99
41164-1,Disney,Frozen II,Enchanted Treehouse,302.0,49.99
60270-1,City,Police,Police Brick Box,301.0,39.99
70320-1,Nexo Knights,Season 2,Aaron Fox's Aero-Striker V2,301.0,29.99
60085-1,City,Racing,4x4 with Powerboat,301.0,29.99
75902-1,Scooby-Doo,,The Mystery Machine,301.0,29.99
60119-1,City,Harbor,Ferry,301.0,29.99
1-9,System,Basic Set,Set No 1 - Quaker/Life Cereal,301.0,5.0
301-2,Samsonite,Basic Set,Wheel Toy Set,301.0,6.22
SAMSONITE-7,Samsonite,Basic set,301 piece set with suitcase,301.0,12.88
8-4,Samsonite,Basic Set,Promotional Basic Set No. 8 (Kraft Velveeta),301.0,5.0
4407-1,Creator,,Transportation,301.0,20.0
722-1,Basic,,"Universal Building Set, 7+",301.0,20.0
6160-1,Aquazone,Stingrays,Sea Scorpion,301.0,35.0
9725-1,Dacta,,Amusement Park Set,301.0,100.0
8954-1,Bionicle,Vehicles/Creatures,Mazeka,301.0,29.99
60003-1,City,Fire,Fire Emergency,301.0,39.99
60397-1,City,Racing,Monster Truck Race,301.0,29.99
60412-1,City,Fire,4x4 Fire Truck with Rescue Boat,301.0,34.99
9494-1,Star Wars,Episode III,Anakin's Jedi Interceptor,300.0,39.99
6187-1,Bricks and More,,Road Construction Set,300.0,19.99
6638-1,Bionicle,Accessories,Ultimate Creatures Accessory Set,300.0,20.0
6497-1,Time Cruisers,Time Twisters,Twisted Time Train,300.0,38.5
3-3,Samsonite,Basic Set,Promotional Set No. 3 (Kraft Velveeta),300.0,5.0
41741-1,Friends,Dog Rescue,Dog Rescue Van,300.0,29.99
21185-1,Minecraft,Minifig-scale,The Nether Bastion,300.0,34.99
41913-1,Dots,Bracelets,Bracelet Mega Pack,300.0,24.99
43188-1,Disney,Sleeping Beauty,Aurora's Forest Cottage,300.0,39.99
41168-1,Disney,Frozen II,Elsa's Jewellery Box Creation,300.0,39.99
11002-1,Classic,Bricks,Basic Brick Set ,300.0,19.99
80019-1,Monkie Kid,Season 2,Red Son's Inferno Jet,299.0,34.99
76901-1,Speed Champions,Toyota,Toyota GR Supra,299.0,19.99
41054-1,Disney,Tangled,Rapunzel's Creativity Tower,299.0,39.99
76016-1,Marvel Super Heroes,Ultimate Spider-Man,Spider-Helicopter Rescue,299.0,44.99
60152-1,City,Construction,Sweeper & Excavator,299.0,29.99
4100-1,Creator,Designer Set,Maximum Wheels,299.0,20.0
4707-1,Harry Potter,Philosopher's Stone,Hagrid's Hut,299.0,30.0
60027-1,City,Great Vehicles,Monster Truck Transporter,299.0,29.99
79001-1,The Hobbit,An Unexpected Journey,Escape from Mirkwood Spiders,298.0,29.99
2263-1,Ninjago,Pilot Season,Turbo Shredder,298.0,29.99
5600-1,Racers,,Radio Control Racer,298.0,80.0
7243-1,City,Construction,Construction Site,298.0,39.99
70730-1,Ninjago,Possession,Chain Cycle Ambush,298.0,29.99
76196-1,Marvel Super Heroes,Seasonal,The Avengers Advent Calendar,298.0,39.99
60354-1,City,Missions,Mars Spacecraft Exploration Missions,298.0,39.99
76911-1,Speed Champions,Aston Martin,007 Aston Martin DB5,298.0,19.99
40522-1,Seasonal,Valentine's Day,Valentine Lovebirds,298.0,12.99
76896-1,Speed Champions,Nissan,Nissan GT-R NISMO,298.0,19.99
40672-1,BrickHeadz,Sonic the Hedgehog,Knuckles & Shadow,298.0,19.99
