Number,Theme,Subtheme,Set name,Pieces,RRP (USD)
75293-1,Star Wars,Galaxy's Edge,Resistance I-TS Transport,932.0,99.99
4896-1,Creator,3 in 1,Roaring Roadsters,931.0,60.0
7627-1,Indiana Jones,Kingdom of the Crystal Skull,Temple of the Crystal Skull,929.0,79.99
80034-1,Monkie Kid,Season 3,Nezha's Fire Ring,929.0,99.99
75053-1,Star Wars,Rebels,The Ghost,929.0,89.99
10159-1,Town,Flight,City Airport,928.0,90.0
75025-1,Star Wars,The Old Republic,Jedi Defender-class Cruiser,927.0,89.99
75336-1,Star Wars,Obi-Wan Kenobi,Inquisitor Transport Scythe,924.0,99.99
BL19009-1,Bricklink,AFOL Designer Program,Imagine it! Build it!,924.0,69.99
31084-1,Creator,3 in 1,Pirate Roller Coaster,923.0,89.99
75948-1,Harry Potter,Goblet of Fire,Hogwarts Clock Tower,922.0,89.99
21118-1,Minecraft,Minifig-scale,The Mine,922.0,109.99
75375-1,Star Wars,Starship Collection,Millennium Falcon,921.0,84.99
SAMSONITE-13,Samsonite,Basic set,920 Piece Motorized Basic Set,920.0,13.99
42097-1,Technic,,Compact Crawler Crane,920.0,99.99
60110-1,City,Fire,Fire Station,919.0,99.99
7665-1,Star Wars,Episode I,Republic Cruiser,919.0,89.99
105-3,Samsonite,Basic set,Imagination Set 5,917.0,14.95
9450-1,Ninjago,Rise of the Snakes,Epic Dragon Battle,915.0,119.99
60317-1,City,Police,Police Chase at the Bank,915.0,99.99
70616-1,The LEGO Ninjago Movie,,Ice Tank,914.0,79.99
60026-1,City,Town,Town Square,914.0,119.99
4565-1,Trains,9V,Freight and Crane Railway,914.0,140.0
42160-1,Technic,Licensed,Audi RS Q e-tron,914.0,179.99
42038-1,Technic,,Arctic Truck,913.0,84.99
60367-1,City,Airport,Passenger Airplane,913.0,119.99
6286-1,Pirates,,Skull's Eye Schooner,912.0,126.5
21320-1,Ideas,,Dinosaur Fossils,910.0,59.99
21174-1,Minecraft,Minifig-scale,The Modern Treehouse,909.0,119.99
6285-1,Pirates,,Black Seas Barracuda,909.0,110.0
41381-1,Friends,Rescue Mission,Rescue Mission Boat,908.0,89.99
60335-1,City,Trains,Train Station,907.0,99.99
60096-1,City,Deep Sea Explorers,Deep Sea Operation Base,907.0,99.99
10040-1,Pirates,,Black Seas Barracuda,906.0,90.0
9337-1,Education,Town,Harbour Set,906.0,121.95
42151-1,Technic,Licensed,Bugatti Bolide,905.0,49.99
42162-1,Technic,Licensed,Bugatti Bolide Agile Blue,905.0,49.99
75151-1,Star Wars,Episode III,Clone Turbo Tank,903.0,109.99
10259-1,Creator Expert,Winter Village Collection,Winter Village Station,902.0,79.99
11005-1,Classic,Creative Fun,Creative Fun,900.0,39.99
11029-1,Classic,Creative Box,Creative Party Box,900.0,49.99
76261-1,Marvel Super Heroes,Spider-Man: No Way Home,Spider-Man Final Battle,900.0,109.99
11036-1,Classic,Creative,Creative Vehicles,900.0,54.99
40634-1,Miscellaneous,,Icons of Play,899.0,99.99
7633-1,City,Construction,Construction Site,898.0,99.99
10249-1,Creator Expert,Winter Village Collection,Winter Toy Shop,898.0,79.99
60258-1,City,Town,Tuning Workshop,897.0,99.99
7171-1,Star Wars,Episode I,Mos Espa Podrace,896.0,90.0
